"Country","Sport","Count"
"Australia","Aquatics",23
"Australia","Athletics",4
"Australia","Basketball",1
"Australia","Canoe / Kayak",5
"Australia","Cycling",1
"Australia","Equestrian",2
"Australia","Hockey",1
"Australia","Rowing",3
"Australia","Sailing",3
"Australia","Shooting",1
"Australia","Softball",1
"Australia","Triathlon",2
"China","Aquatics",18
"China","Archery",3
"China","Athletics",2
"China","Badminton",8
"China","Boxing",4
"China","Canoe / Kayak",1
"China","Cycling",1
"China","Fencing",2
"China","Gymnastics",18
"China","Hockey",1
"China","Judo",4
"China","Rowing",2
"China","Sailing",2
"China","Shooting",8
"China","Table Tennis",8
"China","Taekwondo",2
"China","Tennis",1
"China","Volleyball",3
"China","Weightlifting",9
"China","Wrestling",3
"France","Aquatics",6
"France","Archery",1
"France","Athletics",2
"France","Boxing",3
"France","Canoe / Kayak",2
"France","Cycling",6
"France","Fencing",4
"France","Gymnastics",2
"France","Handball",1
"France","Judo",4
"France","Rowing",2
"France","Sailing",3
"France","Shooting",1
"France","Taekwondo",1
"France","Weightlifting",1
"France","Wrestling",2
"Germany","Aquatics",5
"Germany","Athletics",1
"Germany","Canoe / Kayak",8
"Germany","Cycling",3
"Germany","Equestrian",5
"Germany","Fencing",2
"Germany","Football",1
"Germany","Gymnastics",2
"Germany","Hockey",1
"Germany","Judo",1
"Germany","Modern Pentathlon",1
"Germany","Rowing",2
"Germany","Sailing",1
"Germany","Shooting",4
"Germany","Table Tennis",1
"Germany","Triathlon",1
"Germany","Weightlifting",1
"Germany","Wrestling",1
"Italy","Aquatics",2
"Italy","Archery",1
"Italy","Athletics",2
"Italy","Boxing",3
"Italy","Canoe / Kayak",2
"Italy","Cycling",1
"Italy","Fencing",7
"Italy","Judo",1
"Italy","Rowing",1
"Italy","Sailing",2
"Italy","Shooting",3
"Italy","Taekwondo",1
"Italy","Wrestling",1
"Russia","Aquatics",11
"Russia","Archery",1
"Russia","Athletics",18
"Russia","Basketball",1
"Russia","Boxing",3
"Russia","Canoe / Kayak",3
"Russia","Cycling",2
"Russia","Fencing",1
"Russia","Gymnastics",4
"Russia","Handball",1
"Russia","Modern Pentathlon",1
"Russia","Shooting",4
"Russia","Tennis",3
"Russia","Volleyball",1
"Russia","Weightlifting",7
"Russia","Wrestling",8
"South Korea","Aquatics",2
"South Korea","Archery",5
"South Korea","Badminton",4
"South Korea","Baseball",1
"South Korea","Boxing",1
"South Korea","Fencing",1
"South Korea","Gymnastics",1
"South Korea","Handball",1
"South Korea","Judo",4
"South Korea","Shooting",2
"South Korea","Table Tennis",2
"South Korea","Taekwondo",4
"South Korea","Weightlifting",3
"South Korea","Wrestling",1
"Ukraine","Aquatics",1
"Ukraine","Archery",1
"Ukraine","Athletics",5
"Ukraine","Boxing",2
"Ukraine","Canoe / Kayak",2
"Ukraine","Cycling",1
"Ukraine","Fencing",1
"Ukraine","Gymnastics",2
"Ukraine","Judo",1
"Ukraine","Modern Pentathlon",1
"Ukraine","Shooting",3
"Ukraine","Weightlifting",2
"Ukraine","Wrestling",5
"United Kingdom","Aquatics",6
"United Kingdom","Athletics",4
"United Kingdom","Boxing",3
"United Kingdom","Canoe / Kayak",3
"United Kingdom","Cycling",14
"United Kingdom","Equestrian",3
"United Kingdom","Gymnastics",1
"United Kingdom","Modern Pentathlon",1
"United Kingdom","Rowing",6
"United Kingdom","Sailing",6
"United Kingdom","Taekwondo",1
"United States","Aquatics",33
"United States","Athletics",23
"United States","Baseball",1
"United States","Basketball",2
"United States","Boxing",1
"United States","Cycling",5
"United States","Equestrian",4
"United States","Fencing",6
"United States","Football",1
"United States","Gymnastics",10
"United States","Judo",1
"United States","Rowing",3
"United States","Sailing",2
"United States","Shooting",6
"United States","Softball",1
"United States","Taekwondo",3
"United States","Tennis",2
"United States","Volleyball",4
"United States","Wrestling",3
